"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status","Habitat_Category","IsMigrate","cMass"
"268","Sylvia_mystacea","Sylviidae","Passeriformes","Sylvia mystacea",11.9,6.5,2.8,2.8,17.8,58.9,9.4,49.2,16.1,56.1,9.9,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",29.94,47.02,39.84,56.24,1359316.78,"Extant","Arid_Open",0,-0.17827943174587
"269","Sylvia_nana","Sylviidae","Passeriformes","Sylvia nana",10.7,5.9,2.4,2.6,18,55.5,9.1,46.2,16.4,52.4,8.7,"Desert","3","1","Carnivore","Invertivore","Insessorial",20.34,50.07,38.43,56.04,6356521.52,"Extant","Arid_Open",1,-0.307491163225876
"270","Sylvia_nisoria","Sylviidae","Passeriformes","Sylvia nisoria",16.4,8.9,3.7,4.3,24,88.3,24,64.4,27.2,71.7,22.5,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",35.04,62.55,50.08,54.57,10133103.58,"Extant","Arid_Open",0,0.64270112032396
"271","Sylvia_rueppelli","Sylviidae","Passeriformes","Sylvia rueppelli",14.6,8.4,2.8,3.1,21,69,16,53,23.1,63.6,12.8,"Shrubland","2","3","Carnivore","Invertivore","Insessorial",34.62,41.15,37.7,30.04,238081.29,"Extant","Arid_Open",0,0.0786309820391575
"272","Sylvia_sarda","Sylviidae","Passeriformes","Sylvia sarda",12,6.4,2.3,2.5,18.9,54.6,8.8,45.6,16.1,60.2,9.8,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",36.73,43.08,40.53,8.35,37562.64,"Extant","Arid_Open",1,-0.188431803209888
"273","Sylvia_subcaerulea","Sylviidae","Passeriformes","Sylvia subcaerulea",13.1,7.1,3.2,3.6,19.5,65.6,10.9,54.1,16.8,68.7,14.6,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",-34.84,-11.91,-23.9,21.97,2960791.88,"Extant","Arid_Open",1,0.210207339827877
"274","Sylvia_undata","Sylviidae","Passeriformes","Sylvia undata",13.1,6.2,2.5,2.5,18.6,53.5,7.5,46,14.1,63.1,10.8,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",34.13,52.99,40.86,-1.12,826720.86,"Extant","Arid_Open",1,-0.0912680547562399
"275","Sylvietta_brachyura","Sylviidae","Passeriformes","Sylvietta brachyura",12.2,7.4,2.4,2.7,15.9,51.5,6.2,45.3,12.1,21.5,8.1,"Woodland","2","1","Carnivore","Invertivore","Insessorial",-5.37,19.12,8.61,18.32,7061020.5,"Extant","Forested_Vegetated",1,-0.378950127208021
"276","Sylvietta_denti","Sylviidae","Passeriformes","Sylvietta denti",9.7,5.7,2.3,2.7,14.3,46.2,3,43,6.4,18,8.4,"Forest","2","1","Carnivore","Invertivore","Insessorial",-8.64,10.3,2.74,7.59,1125336.65,"Extant","Forested_Vegetated",1,-0.342582483037146
"277","Sylvietta_isabellina","Sylviidae","Passeriformes","Sylvietta isabellina",15.6,9.7,2.4,3,18.2,55.2,4,51.2,7.2,25.8,10,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",-4.73,10.49,4.04,41.51,901911.55,"Extant","Arid_Open",1,-0.168229095892368
"278","Sylvietta_leucophrys","Sylviidae","Passeriformes","Sylvietta leucophrys",11.7,6.4,2.6,2.9,20.2,59.3,5.1,55,8.4,23.5,11.3,"Forest","2","1","Carnivore","Invertivore","Insessorial",-6.11,2.43,-1.01,32.94,160448.77,"Extant","Forested_Vegetated",1,-0.046011463168119
"279","Sylvietta_philippae","Sylviidae","Passeriformes","Sylvietta philippae",10.8,6.2,2.3,3,16,52,3.5,48.5,6.8,22,8.6,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",3.19,9.59,6.26,45.23,206306.37,"Extant","Arid_Open",1,-0.319051985626952
"280","Sylvietta_rufescens","Sylviidae","Passeriformes","Sylvietta rufescens",16.4,9.9,2.5,3.2,19.2,60,5.7,54.3,9.5,28.2,11.6,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",-34.84,-2.15,-20.93,24.57,4186905.87,"Extant","Arid_Open",1,-0.0198090907740949
"281","Sylvietta_ruficapilla","Sylviidae","Passeriformes","Sylvietta ruficapilla",13.6,7.9,2.8,3.1,19.1,64.9,6.8,57.6,10.5,27.5,11.1,"Woodland","2","1","Carnivore","Invertivore","Insessorial",-17.88,1.27,-9.65,23.58,2557018.33,"Extant","Forested_Vegetated",1,-0.0638690805681255
"282","Sylvietta_virens","Sylviidae","Passeriformes","Sylvietta virens",11.6,7.1,2.6,2.6,16.3,46.4,3.7,43,8,16.1,8.4,"Forest","2","1","Carnivore","Invertivore","Insessorial",-13.75,14.03,0.77,14.91,3738336.18,"Extant","Forested_Vegetated",1,-0.342582483037146
"283","Sylvietta_whytii","Sylviidae","Passeriformes","Sylvietta whytii",14.6,8.6,2.4,3,18.1,57.9,5.3,52.8,9.2,24.3,9.9,"Woodland","2","1","Carnivore","Invertivore","Insessorial",-24.42,8.91,-8.61,34.06,1855770.99,"Extant","Forested_Vegetated",1,-0.17827943174587
"284","Tesia_castaneocoronata","Sylviidae","Passeriformes","Tesia castaneocoronata",11,5.6,2.5,2.1,21.4,48,6.6,41.4,13.8,22.8,8.9,"Forest","1","1","Carnivore","Invertivore","Terrestrial",16.29,32.85,25.85,98.2,1980546.83,"Extant","Forested_Vegetated",1,-0.28476291214832
"285","Tesia_cyaniventer","Sylviidae","Passeriformes","Tesia cyaniventer",14,7.2,3.5,2.6,22.8,50.9,6.5,43.9,12.8,17,9.7,"Forest","1","1","Carnivore","Invertivore","Generalist",10.45,30.31,23.81,100.06,2098380.83,"Extant","Forested_Vegetated",1,-0.198688303377077
"286","Tesia_everetti","Sylviidae","Passeriformes","Tesia everetti",14.6,8.1,3.2,3,24.4,50.6,3.2,47.4,6.3,20.7,6.3,"Forest","1","1","Carnivore","Invertivore","Generalist",-9.11,-8.06,-8.61,119.54,29083.3,"Extant","Forested_Vegetated",1,-0.630264555488927
"287","Tesia_olivea","Sylviidae","Passeriformes","Tesia olivea",12.5,6.2,3,2.9,22.1,47.6,4.4,42.3,9.4,20.5,7,"Forest","1","1","Carnivore","Invertivore","Terrestrial",15.49,32.53,25.16,100.72,1755868.45,"Extant","Forested_Vegetated",1,-0.524904039831101
"288","Tesia_superciliaris","Sylviidae","Passeriformes","Tesia superciliaris",13.9,7.1,3.6,2.9,23.4,47.9,3.4,44.5,7.1,20,7,"Forest","1","1","Carnivore","Invertivore","Terrestrial",-7.76,-6.63,-7.14,108.23,5892.17,"Extant","Forested_Vegetated",1,-0.524904039831101
"289","Thamnornis_chloropetoides","Sylviidae","Passeriformes","Thamnornis chloropetoides",17.1,10.6,2.6,3.6,19.2,60.2,6,54.8,9.8,65.1,14.3,"Shrubland","2","1","Carnivore","Invertivore","Insessorial",-25.58,-20.76,-22.8,44.33,69624.44,"Extant","Arid_Open",1,0.189445348379448
"290","Tickellia_hodgsoni","Sylviidae","Passeriformes","Tickellia hodgsoni",12.1,6.2,3.2,2.3,19.5,46.1,6,40.3,12.9,44,4.5,"Forest","1","2","Carnivore","Invertivore","Insessorial",19.51,29.93,25.2,97.43,616057.05,"Extant","Forested_Vegetated",0,-0.96673679211014
"291","Trichocichla_rufa","Sylviidae","Passeriformes","Trichocichla rufa",19.1,9.8,4.2,3.9,30.1,73.8,7.8,66,10.6,77.5,24,"Forest","1","1","Carnivore","Invertivore","Terrestrial",-18.28,-17.35,-17.87,178,8590.66,"Extant","Forested_Vegetated",1,0.707239641461532
"292","Urosphena_squameiceps","Sylviidae","Passeriformes","Urosphena squameiceps",13.2,7.9,2.6,2.6,18,51,10.3,40.7,20.3,31,9.3,"Forest","1","3","Carnivore","Invertivore","Terrestrial",30.22,51.1,41.78,134.11,1055595.4,"Extant","Forested_Vegetated",0,-0.240799788727204
"293","Urosphena_subulata","Sylviidae","Passeriformes","Urosphena subulata",14.7,8.8,2.5,2.8,19,52.2,4.7,47.5,9,26.7,10.3,"Forest","1","1","Carnivore","Invertivore","Terrestrial",-10.94,-7.49,-9.1,125.2,35526.19,"Extant","Forested_Vegetated",1,-0.138670293650824
"294","Urosphena_whiteheadi","Sylviidae","Passeriformes","Urosphena whiteheadi",13.3,8,2.8,2.6,19.1,50.6,3.6,46.2,7.2,23.2,9,"Forest","1","1","Carnivore","Invertivore","Generalist",-3.57,6.4,2.36,115.45,131729.06,"Extant","Forested_Vegetated",1,-0.273589611550194
